OrderID,DeliveryPartner,DeliveryDate,DeliveryStatus
4527,UPS,2023-06-06,Pending
7859,DHL,2023-06-05,Delivered
1218,UPS,2023-06-10,In Transit
8002,USPS,2023-06-05,In Transit
8319,USPS,2023-06-06,Delivered
3560,UPS,2023-06-06,Delivered
6750,DHL,2023-06-08,Delivered
4501,USPS,2023-06-05,Delivered
8214,UPS,2023-06-07,Pending
5291,USPS,2023-06-08,In Transit
7896,DHL,2023-06-10,Delivered
2832,UPS,2023-06-07,Pending
3593,DHL,2023-06-09,Pending
7641,UPS,2023-06-10,In Transit
4565,UPS,2023-06-09,Delivered
7774,DHL,2023-06-08,Delivered
1136,USPS,2023-06-08,Delivered
7347,DHL,2023-06-10,Pending
9415,UPS,2023-06-08,Pending
1856,DHL,2023-06-09,Delivered
2720,UPS,2023-06-04,Delivered
9960,FedEx,2023-06-04,Pending
6091,FedEx,2023-06-08,Pending
6004,FedEx,2023-06-05,Delivered
1630,DHL,2023-06-04,Pending
2359,FedEx,2023-06-07,In Transit
3006,DHL,2023-06-05,Delivered
6038,UPS,2023-06-10,In Transit
6280,FedEx,2023-06-08,In Transit
1418,USPS,2023-06-09,Delivered
2236,DHL,2023-06-06,In Transit
7311,UPS,2023-06-10,Delivered
2134,UPS,2023-06-07,Delivered
9204,DHL,2023-06-08,Pending
7851,UPS,2023-06-08,In Transit
8956,UPS,2023-06-05,Delivered
7011,DHL,2023-06-04,Pending
1255,UPS,2023-06-06,Delivered
2830,FedEx,2023-06-06,In Transit
8141,USPS,2023-06-07,Delivered
7245,UPS,2023-06-10,Delivered
6227,UPS,2023-06-08,In Transit
9947,FedEx,2023-06-10,In Transit
6314,USPS,2023-06-08,In Transit
7399,USPS,2023-06-04,Delivered
7534,DHL,2023-06-08,Delivered
5831,USPS,2023-06-07,Delivered
7522,UPS,2023-06-04,Pending
5312,DHL,2023-06-08,In Transit
1199,FedEx,2023-06-08,In Transit
6139,FedEx,2023-06-07,In Transit
5515,UPS,2023-06-07,In Transit
1152,UPS,2023-06-10,Delivered
8696,FedEx,2023-06-10,In Transit
9329,USPS,2023-06-06,In Transit
9850,FedEx,2023-06-09,In Transit
5245,UPS,2023-06-06,Delivered
9485,USPS,2023-06-07,Delivered
4193,UPS,2023-06-08,In Transit
4525,UPS,2023-06-08,Delivered
7296,DHL,2023-06-09,Pending
9057,UPS,2023-06-07,Delivered
2639,FedEx,2023-06-04,In Transit
1106,UPS,2023-06-08,Pending
9297,DHL,2023-06-04,Delivered
6614,UPS,2023-06-06,Delivered
5869,USPS,2023-06-05,Delivered
1219,USPS,2023-06-05,Pending
3917,DHL,2023-06-09,Pending
1813,DHL,2023-06-06,Pending
2281,USPS,2023-06-10,Delivered
7178,USPS,2023-06-08,Delivered
4067,UPS,2023-06-04,Delivered
6888,FedEx,2023-06-08,In Transit
5043,USPS,2023-06-06,In Transit
6868,DHL,2023-06-07,Pending
9693,FedEx,2023-06-04,In Transit
1798,DHL,2023-06-06,In Transit
2589,USPS,2023-06-09,In Transit
3352,FedEx,2023-06-07,Pending
2564,UPS,2023-06-05,In Transit
2289,DHL,2023-06-07,In Transit
9841,DHL,2023-06-05,Delivered
8788,UPS,2023-06-10,Pending
8945,UPS,2023-06-04,In Transit
2477,UPS,2023-06-08,In Transit
4495,FedEx,2023-06-10,Pending
1771,FedEx,2023-06-10,In Transit
4451,USPS,2023-06-05,Delivered
1685,USPS,2023-06-09,Pending
4783,FedEx,2023-06-08,In Transit
7526,FedEx,2023-06-07,Delivered
3923,USPS,2023-06-10,Delivered
7769,UPS,2023-06-06,Delivered
8663,USPS,2023-06-08,Pending
6657,USPS,2023-06-08,Pending
1818,FedEx,2023-06-04,In Transit
2307,USPS,2023-06-08,Pending
2275,UPS,2023-06-09,Pending
4317,USPS,2023-06-10,In Transit
