ProductID,ProductName,Category,ListPrice
8099,back audience,Home Appliances,50
8727,example current,Home Appliances,185
3539,behavior home,Beauty,322
5162,drug last,Home Appliances,446
7599,race difference,Home Appliances,473
2603,draw discussion,Clothing,320
2101,woman administration,Books,217
8094,true Congress,Clothing,220
9588,policy mention,Electronics,182
7063,morning main,Beauty,335
2893,could social,Clothing,437
1472,crime threat,Home Appliances,405
7158,purpose read,Electronics,306
1740,area weight,Electronics,496
8095,over benefit,Electronics,367
3606,his start,Clothing,219
1305,perform season,Beauty,145
1309,truth easy,Clothing,130
7310,day article,Electronics,173
7988,seek too,Beauty,233
5477,statement fire,Clothing,302
9023,bag structure,Electronics,264
2046,agreement the,Clothing,142
6164,far close,Beauty,365
6343,bill all,Home Appliances,351
7026,still itself,Electronics,253
6974,chair really,Home Appliances,498
7183,risk simply,Clothing,62
8773,time lot,Home Appliances,453
9900,task should,Books,153
8269,president usually,Clothing,381
6547,artist generation,Clothing,303
6844,set picture,Beauty,186
1936,successful amount,Home Appliances,304
4271,should center,Electronics,157
7685,capital deal,Home Appliances,301
1016,find public,Electronics,265
8591,region force,Beauty,131
8182,career activity,Books,142
4933,figure of,Electronics,496
5435,national agency,Clothing,444
2353,because less,Electronics,256
1376,involve year,Beauty,334
6106,develop can,Books,440
6135,another believe,Beauty,235
5165,watch record,Home Appliances,175
6920,husband herself,Electronics,78
8583,tough its,Books,451
2400,of evidence,Books,130
3017,media bring,Electronics,219
9299,those guy,Home Appliances,395
1540,trial pull,Beauty,106
7528,staff through,Beauty,255
4417,structure democratic,Electronics,184
4783,cell environment,Home Appliances,496
3000,relationship different,Books,429
6775,raise community,Beauty,413
7412,dog section,Clothing,50
9355,ground financial,Home Appliances,143
3496,science leave,Home Appliances,164
2113,side listen,Beauty,461
9555,administration whom,Books,253
7255,buy structure,Books,329
8109,foreign experience,Clothing,189
3880,plant participant,Clothing,87
3286,person catch,Electronics,479
1347,myself serve,Books,82
2748,standard ahead,Beauty,63
7644,table fish,Beauty,474
9558,already all,Electronics,233
4503,staff surface,Clothing,182
3517,various child,Electronics,268
5805,approach less,Home Appliances,268
9852,audience life,Beauty,71
9636,both treatment,Beauty,175
6066,certainly worker,Books,453
1373,apply course,Books,193
1053,feeling see,Books,472
3544,crime election,Home Appliances,394
5631,where bar,Clothing,132
6695,thank financial,Home Appliances,437
9404,movement southern,Books,488
3754,send guess,Books,469
8175,rise officer,Beauty,422
2612,nothing hope,Clothing,187
9326,lawyer compare,Home Appliances,370
9910,outside maintain,Books,448
3282,seat PM,Home Appliances,286
8170,issue ok,Clothing,84
9408,bring piece,Home Appliances,198
6932,cold season,Clothing,303
5015,TV later,Home Appliances,431
7499,learn night,Home Appliances,139
6539,collection much,Books,462
3573,her data,Beauty,250
7282,dog effort,Home Appliances,295
9436,way every,Beauty,177
6524,walk president,Electronics,61
4721,century if,Clothing,229
8867,my report,Clothing,208
9670,local thank,Books,325
8850,condition general,Home Appliances,224
2851,success run,Clothing,239
5142,tonight would,Clothing,174
8949,voice maintain,Beauty,408
6648,something while,Electronics,389
8204,hundred film,Home Appliances,478
6438,father performance,Electronics,62
1117,buy subject,Beauty,306
7071,according mention,Beauty,117
1591,market thing,Beauty,309
2550,officer treatment,Electronics,429
8562,others political,Books,278
6639,knowledge treat,Beauty,436
5383,dark ready,Beauty,459
5785,provide early,Beauty,488
8167,already when,Beauty,134
2768,build face,Clothing,238
5942,point near,Books,254
1502,together again,Clothing,452
3024,capital these,Books,127
5716,right stock,Electronics,376
2790,class direction,Electronics,160
6204,wide structure,Books,357
5635,own human,Electronics,152
6851,miss material,Beauty,203
8552,table knowledge,Electronics,54
9335,hotel speech,Books,56
2337,impact conference,Books,169
7139,discover ago,Clothing,404
1816,stock discuss,Home Appliances,263
4125,technology Mr,Beauty,362
7203,weight born,Home Appliances,280
6171,newspaper exactly,Home Appliances,167
6544,appear particular,Electronics,325
5050,agree inside,Books,225
9417,itself type,Books,221
3157,set hear,Beauty,496
