OrderID,ProductID,UserID,Quantity,OrderDate,UnitPrice
9377,9042,1174,2,2022-08-16,83
5663,7588,4658,10,2022-09-22,97
2173,9904,7951,2,2022-07-06,61
1901,7418,5518,5,2022-06-13,89
4190,6803,1758,4,2023-05-04,98
1939,8062,9114,5,2022-12-16,32
7655,9945,8688,6,2023-04-05,44
9466,3716,5766,1,2022-07-24,18
3243,9349,7412,8,2022-07-26,85
3162,3399,7604,5,2022-12-13,75
9911,4606,8545,2,2023-02-24,88
4425,2421,4304,10,2022-10-19,23
3029,6450,8486,8,2023-01-31,25
7204,8013,2055,3,2023-04-12,24
4522,3405,3342,9,2022-11-21,46
2908,3650,2648,5,2023-05-19,39
9536,8874,1407,5,2022-11-29,72
1817,3448,4385,2,2022-11-12,21
2006,1559,9129,6,2022-12-11,10
4422,9118,8010,6,2023-02-23,71
8010,1042,7922,5,2022-06-07,29
6628,4775,6910,2,2023-02-21,33
2129,9549,7582,4,2022-10-25,86
8741,6774,9751,8,2022-10-23,84
6847,2732,7639,6,2022-05-29,36
6247,1115,3389,3,2023-04-12,39
8186,9184,6291,8,2022-11-10,32
6149,8582,3122,10,2022-08-30,70
6646,1888,1591,6,2023-03-13,61
5601,4313,8344,10,2022-11-11,15
2874,3791,9259,1,2022-06-22,28
2509,2885,9780,6,2022-10-02,22
4968,9240,6337,8,2022-06-07,33
7134,1235,1101,2,2022-12-09,88
7581,3442,5942,10,2022-11-06,58
4159,6800,5237,2,2022-07-06,24
9685,2695,3994,2,2023-02-06,13
7948,1785,2603,3,2022-06-10,78
9233,1926,6683,9,2023-03-31,52
3558,5012,1291,3,2023-03-14,90
2011,3308,4227,1,2022-09-08,30
9195,1267,7248,9,2023-01-09,94
9098,6524,5014,5,2022-11-11,81
2009,9549,4240,10,2022-11-25,57
2246,8324,2480,8,2022-12-22,47
5894,1781,2004,3,2023-04-16,38
9319,5720,9648,9,2022-10-18,23
1364,7868,2155,4,2023-02-04,62
6531,6764,5119,6,2022-09-04,85
3510,8724,5469,4,2022-06-09,46
6684,6666,4617,5,2023-03-28,85
7087,6229,3348,10,2023-05-23,79
9935,1850,6198,2,2022-11-03,39
6917,4253,2211,5,2022-08-07,25
4513,2628,9485,8,2022-11-03,13
2315,9296,9547,6,2022-12-25,93
8882,4571,5062,7,2022-10-15,65
7225,6395,7772,10,2023-02-23,95
2630,2188,6097,8,2023-04-17,94
2998,6190,1166,4,2023-04-13,66
4422,8498,3821,8,2023-01-22,40
6238,6847,3106,7,2022-11-24,73
9662,4780,4162,1,2023-01-01,65
1909,5403,1817,5,2023-03-02,89
7569,1310,9656,7,2023-01-11,44
3618,9028,6544,4,2022-12-04,51
6444,2959,9651,6,2022-12-28,86
4287,2860,6264,10,2023-03-17,65
4777,7065,3630,4,2023-01-08,26
9703,3721,3490,6,2022-07-10,94
5938,7178,5972,1,2022-11-20,88
3170,7876,4342,4,2022-08-23,15
8216,2243,5776,4,2023-05-25,50
4457,1959,5305,9,2022-12-15,68
9967,3707,9208,3,2022-08-01,88
4923,9080,4858,6,2022-07-10,84
1498,7391,9348,1,2022-07-31,42
9549,4703,6418,5,2022-10-06,31
8802,3428,4723,8,2022-08-06,73
9601,5621,1425,10,2022-08-23,38
2249,5011,1241,9,2023-02-15,36
4210,4458,5835,8,2022-07-25,31
2990,7551,9897,8,2022-09-29,76
1353,8623,2565,9,2023-02-08,23
1521,2421,2482,6,2022-12-27,25
8827,9105,2920,10,2022-08-22,28
6289,5402,1047,4,2022-06-04,44
5767,8284,3268,7,2022-09-01,23
1290,8721,2931,3,2022-11-14,10
9570,2170,4516,4,2023-04-23,15
1679,4737,5648,5,2023-02-07,63
3939,6180,8532,5,2022-08-31,37
9829,1643,5727,5,2022-06-07,69
1953,7511,1293,3,2022-06-10,17
8586,6164,5268,4,2023-01-30,84
4001,4292,3823,6,2023-01-12,28
7975,6867,4032,8,2022-12-07,64
7149,7413,5344,2,2023-05-25,67
8533,5276,2599,10,2022-09-27,61
7456,4228,9138,3,2023-02-09,77
8417,6296,1816,10,2022-12-02,92
2524,4424,7540,10,2022-06-06,96
1398,1041,4287,6,2023-05-16,13
6038,6346,5579,8,2022-08-13,20
1951,8404,2634,10,2022-10-13,78
7226,2643,8027,10,2023-05-06,57
3312,4960,5560,4,2022-06-04,26
6327,4075,2395,3,2022-11-23,83
9398,9600,6702,6,2023-02-22,33
7935,9408,5914,10,2023-01-06,100
2357,3270,4158,6,2022-08-14,99
2257,4542,3479,2,2022-08-07,34
5844,5232,5556,2,2022-08-29,21
1655,5600,3871,1,2023-01-05,87
7459,8719,8221,4,2022-11-24,61
5819,8919,8773,2,2022-08-10,33
6062,8286,9694,1,2023-01-13,66
1153,3213,1677,5,2022-12-05,12
3516,8192,2469,2,2022-09-05,46
2359,6425,5716,5,2023-01-20,100
2322,5790,8124,7,2022-09-26,63
1516,3995,5830,4,2022-06-11,75
1159,4473,2824,6,2023-01-13,34
4824,5443,2692,10,2022-06-23,35
3647,3425,2451,1,2023-02-16,38
1038,5629,5125,7,2022-07-22,19
8706,4016,5753,3,2022-12-26,82
1132,1416,3878,5,2023-05-07,64
8625,1752,8503,5,2022-08-23,21
2088,1351,8286,2,2022-11-12,95
7634,5291,4411,7,2022-11-30,65
6020,3777,7406,2,2023-01-06,93
8976,4695,1244,10,2023-03-22,23
7656,1751,1242,2,2022-11-26,81
6710,9597,7301,7,2022-10-04,56
9450,7115,7736,3,2023-02-26,74
6529,7591,1458,10,2023-02-10,55
7449,6149,9328,1,2023-02-24,41
4484,1348,4632,6,2022-09-14,17
1912,7257,7351,3,2022-07-20,43
4351,8029,2177,10,2023-05-19,20
2494,2096,1796,4,2023-03-01,59
5078,9431,6305,1,2023-04-25,15
4368,6273,3001,3,2022-10-16,20
8134,2526,6037,4,2023-01-08,47
4970,8451,3719,5,2022-06-08,26
4103,6706,3092,10,2022-08-31,78
3309,7487,7691,3,2022-11-11,15
4601,9386,6683,8,2023-01-09,75
2099,4819,7779,9,2022-09-28,98
2983,6741,7094,9,2023-05-22,22
1420,4162,6017,4,2022-11-28,58
3907,2017,6032,7,2023-04-20,98
9829,5428,6114,10,2023-03-25,80
3985,1711,4330,3,2022-09-07,61
9336,2742,2837,8,2023-05-18,92
5365,9530,4562,7,2022-11-02,70
5205,6636,6252,8,2022-10-07,97
3010,8131,9967,5,2022-11-05,43
6966,2232,2489,10,2022-12-09,55
1842,7836,5622,4,2022-09-05,73
6611,7243,1642,5,2022-08-14,75
3335,1094,5499,9,2023-03-18,86
2414,3097,6606,2,2022-09-02,42
7305,7778,1575,4,2022-09-12,82
5913,2567,6976,9,2022-09-03,85
6925,1989,1576,7,2022-06-21,51
2762,1832,6450,5,2022-07-08,93
3755,7840,6299,2,2022-11-16,16
1107,1937,5482,7,2023-05-12,25
3647,9911,7604,10,2022-10-04,22
4077,4757,8815,5,2023-01-29,26
4684,4448,1635,3,2022-07-21,14
5321,4946,4107,3,2023-05-06,99
9069,3354,2157,10,2022-07-31,10
5144,4279,6525,3,2023-01-17,99
6098,9692,6580,6,2023-04-18,27
5694,7228,7376,5,2022-06-04,19
4305,5361,6359,2,2022-07-10,42
7582,4479,5772,3,2022-12-21,77
1256,7863,1519,5,2022-12-18,38
1647,6245,7764,9,2023-03-06,92
1784,4468,5394,1,2023-01-05,88
1270,2197,9790,1,2023-02-08,42
3193,6889,5124,4,2022-10-22,30
7015,7508,4834,2,2023-01-09,91
4763,2711,7774,6,2022-08-05,55
5456,5968,8657,10,2022-07-05,19
1832,2150,6563,1,2022-07-05,24
7027,8652,5446,5,2023-04-30,73
7008,3416,5951,2,2022-10-10,45
4276,4812,4731,8,2023-05-28,68
9605,2678,9125,6,2022-08-02,85
7807,1109,8904,8,2023-05-10,54
7130,4283,6530,5,2023-02-28,32
8274,2481,7029,10,2022-06-10,27
7961,5553,3798,6,2022-06-06,71
8271,3539,5042,9,2023-01-08,69
1553,2590,6718,3,2022-11-01,85
2098,1362,8420,1,2023-02-18,50
9519,5768,4244,4,2023-05-08,97
5938,2167,6972,1,2023-05-24,75
1773,9652,2980,10,2023-05-19,73
7000,9444,3606,4,2023-03-05,23
5918,8539,1409,5,2023-01-02,42
4102,2550,6028,2,2023-03-11,42
5207,5153,4179,2,2022-10-03,13
7874,5009,5997,3,2022-12-14,91
7641,6929,9899,1,2022-11-08,85
2514,1909,9662,9,2022-09-12,53
9422,2821,7435,4,2023-01-02,69
6169,7725,1101,10,2023-05-08,28
2886,2935,3611,9,2023-04-21,47
3727,3422,3190,2,2023-04-08,47
2291,9303,7591,5,2023-01-14,33
2386,3801,5575,9,2022-07-03,24
5815,4542,2861,10,2023-01-10,76
3522,8013,4907,8,2023-01-26,83
9448,3891,9549,8,2023-02-25,80
3039,5299,1634,7,2023-03-09,13
9194,5379,4269,6,2022-09-18,73
9148,8976,7173,3,2022-11-28,36
9805,3065,1440,10,2022-12-09,63
6418,7202,7580,4,2023-05-07,32
9603,9369,3160,5,2022-06-19,28
9526,5319,9277,7,2022-11-06,96
5880,2027,4450,3,2022-12-02,50
4704,2408,7719,6,2022-12-02,90
